;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
2007-06-01;21,493737;3,488775;12,094652;0,981873;0,39737
2007-07-01;16,734679;-3,924181;11,449054;0,951856;-3,120323
2007-08-01;-24,102537;-40,054445;-27,146784;1,0162;-2,976355
2007-09-01;13,949216;7,793629;10,514916;1,013209;0,633592
2007-10-01;14,38202;-9,242314;5,275264;1,035825;3,291609
2007-11-01;-0,868168;4,373877;-3,202698;0,988984;-0,206315
2007-12-01;-30,02366;15,594391;-20,907008;1,017267;8,27148
2008-01-01;-22,069064;11,138659;0,847242;1,007281;-1,240329
2008-02-01;-11,937618;10,95009;-3,923362;0,920821;-8,715992
2008-03-01;9,948256;10,426373;11,364717;1,065536;2,733624
2008-04-01;9,532848;-14,551346;3,95817;0,999927;0,006297
2008-05-01;3,032962;4,869897;-1,206543;0,994494;0,612131
2008-06-01;21,131585;4,215077;11,306218;0,985047;0,344884
2008-07-01;16,853589;-5,697498;11,977823;0,959327;-3,148406
2008-08-01;-23,635242;-40,471155;-24,846831;1,010318;-2,560027
2008-09-01;13,433931;6,446267;11,031742;1,017685;0,474568
2008-10-01;14,417709;-8,604169;5,719659;1,036633;3,385644
2008-11-01;-0,487891;5,520997;-3,246207;0,985878;0,081001
2008-12-01;-30,754867;15,401388;-22,267253;1,021991;8,227851
2009-01-01;-21,24292;10,936092;-0,738005;0,998827;-0,995902
2009-02-01;-11,848342;12,143344;-3,984932;0,923045;-8,646534
2009-03-01;9,914743;11,072539;10,825345;1,065936;2,312185
2009-04-01;9,667068;-15,845668;4,705588;1,000241;-0,230987
2009-05-01;2,487706;4,925518;-1,002729;0,992181;0,358092
2009-06-01;20,425534;6,202563;10,420587;0,988187;0,017714
2009-07-01;17,689261;-7,669251;12,489271;0,963221;-2,44001
2009-08-01;-23,622501;-41,533589;-23,265907;1,005428;-2,675877
2009-09-01;12,789695;5,281733;11,258888;1,017893;0,331822
2009-10-01;15,156124;-5,834229;5,568096;1,037855;4,155473
2009-11-01;-0,47431;6,105789;-1,922785;0,984823;-0,193638
2009-12-01;-31,463505;13,754341;-23,511653;1,024486;8,129123
2010-01-01;-20,60744;11,138144;-2,020494;0,995227;-0,7238
2010-02-01;-11,687267;12,458503;-3,109102;0,92445;-8,708215
2010-03-01;9,717084;11,151432;10,107666;1,0632;1,770709
2010-04-01;10,720003;-16,03321;4,880717;1,000374;-0,042735
2010-05-01;1,261331;4,517008;-1,141385;0,997955;-0,111926
2010-06-01;19,587248;7,897153;8,892274;0,987472;-0,21289
2010-07-01;18,845108;-8,861112;12,847238;0,963914;-1,394052
2010-08-01;-24,007556;-43,33912;-22,260458;1,003532;-3,077625
2010-09-01;12,688056;4,964935;11,239471;1,013131;0,332917
2010-10-01;15,813613;-1,778109;5,842875;1,040185;4,808958
2010-11-01;-1,08821;6,55486;-0,344057;0,986325;-0,841844
2010-12-01;-31,737783;11,323693;-23,974866;1,021302;8,424762
2011-01-01;-20,331969;11,907006;-2,305676;0,998294;-0,874694
2011-02-01;-11,351347;11,335367;-2,663242;0,927571;-8,753104
2011-03-01;9,83843;10,564396;9,719408;1,057893;1,679917
2011-04-01;11,595142;-14,87141;4,211785;0,999891;0,149884
2011-05-01;0,11215;2,893053;-0,541231;1,004858;-0,580474
2011-06-01;19,072211;8,269122;7,208195;0,98528;-0,341133
2011-07-01;19,532298;-8,310428;12,487389;0,964726;-0,715841
2011-08-01;-24,374596;-44,885805;-21,878881;1,001066;-3,389795
2011-09-01;13,052624;6,158197;10,031234;1,006351;0,634049
2011-10-01;15,770452;2,944714;6,814171;1,048454;4,842502
2011-11-01;-1,348509;6,49316;1,055556;0,983526;-1,293949
2011-12-01;-31,66963;7,375337;-23,444172;1,016013;8,89049
2012-01-01;-20,507762;13,42314;-1,921595;1,006952;-1,168481
2012-02-01;-11,163856;9,777358;-1,130975;0,927778;-8,852609
2012-03-01;9,977394;9,445226;9,423175;1,051231;2,048245
2012-04-01;11,981404;-14,901401;2,669209;0,999801;0,021089
2012-05-01;-0,070828;1,575373;-0,325016;1,014951;-0,77545
2012-06-01;18,847476;7,813098;5,676909;0,981446;-0,431405
2012-07-01;19,510905;-5,694681;11,503959;0,968058;-0,753673
2012-08-01;-24,315974;-44,810199;-22,302903;0,99549;-3,059405
2012-09-01;12,890291;7,27058;9,042765;1,002865;0,781984
2012-10-01;15,292936;6,786733;8,602708;1,054955;4,445173
2012-11-01;-0,990438;6,692491;1,475499;0,977543;-1,201763
2012-12-01;-31,502424;1,414316;-22,807525;1,011944;8,911994
2013-01-01;-20,353427;15,639455;-0,642052;1,013226;-1,240991
2013-02-01;-11,100122;8,59819;-0,536588;0,93238;-8,82891
2013-03-01;10,092968;7,893674;9,462162;1,045619;2,629215
2013-04-01;11,67477;-14,789247;1,954935;1,000734;-0,38265
2013-05-01;0,460373;-0,313453;0,457045;1,017815;-0,610463
2013-06-01;18,51;7,211218;4,683066;0,980902;-0,848824
2013-07-01;19,241773;-1,38339;10,272992;0,970137;-1,195308
2013-08-01;-23,954541;-43,668928;-23,764169;0,989657;-2,42723
2013-09-01;11,990388;8,807755;7,894382;1,004996;0,870085
2013-10-01;15,056911;8,009492;10,022554;1,058595;4,284234
2013-11-01;-0,411306;6,793795;1,674776;0,970035;-0,963451
2013-12-01;-31,484735;-4,845961;-22,094291;1,013589;8,364168
2014-01-01;-19,914753;17,860133;-0,028396;1,015649;-0,78368
2014-02-01;-10,688638;7,766565;1,247756;0,931959;-8,860212
2014-03-01;10,240892;6,368691;9,818127;1,045999;2,82224
2014-04-01;11,208658;-14,65927;1,636556;0,998643;-0,682048
2014-05-01;0,967455;-1,391923;0,655039;1,020221;-0,17631
2014-06-01;17,937421;6,87451;4,133307;0,98476;-1,558863
2014-07-01;19,042467;2,730412;8,392717;0,966608;-1,346874
2014-08-01;-24,047128;-41,495635;-25,545894;0,986691;-1,999015
2014-09-01;10,637108;9,362936;7,278069;1,011499;0,735087
2014-10-01;15,624613;8,237872;11,108504;1,052987;4,747788
2014-11-01;0,086254;6,093648;2,180796;0,96861;-0,923987
2014-12-01;-31,264869;-9,562053;-21,087876;1,016283;7,621211
2015-01-01;-19,146477;18,398339;0,652585;1,015418;-0,198574
2015-02-01;-10,562453;7,25117;1,558863;0,93113;-8,874619
2015-03-01;9,829782;6,238365;10,200385;1,051145;2,660666
2015-04-01;11,090239;-13,061857;1,521611;0,993556;-0,64967
2015-05-01;1,080964;-3,103236;1,745531;1,017343;-0,158728
2015-06-01;17,816693;6,463761;3,655172;0,991339;-2,072887
2015-07-01;19,351603;5,986115;6,107455;0,960446;-1,011265
2015-08-01;-24,520707;-39,422102;-25,935159;0,990734;-2,090286
2015-09-01;9,498817;9,224776;6,366665;1,015355;0,743144
2015-10-01;16,209051;7,446412;11,277094;1,046597;5,504369
2015-11-01;0,258838;5,485859;3,167483;0,973537;-0,974387
2015-12-01;-31,012416;-11,123559;-19,973574;1,01514;7,150263
2016-01-01;-19,137416;17,266591;0,592704;1,014109;0,061499
2016-02-01;-10,176482;6,198937;1,947967;0,92578;-9,060071
2016-03-01;9,643584;6,805969;10,295291;1,057944;2,350716
2016-04-01;11,300033;-11,61467;0,713065;0,986751;-0,527684
2016-05-01;1,191483;-3,927249;3,103439;1,019518;-0,511856
2016-06-01;18,22423;6,852447;3,714103;0,997967;-2,240653
2016-07-01;19,046942;7,748188;3,841685;0,954998;-0,55201
2016-08-01;-25,060911;-37,60357;-25,514096;0,996235;-2,090909
2016-09-01;8,939076;7,544258;5,683601;1,014295;1,030425
2016-10-01;16,053907;7,26215;11,152988;1,040876;5,806924
2016-11-01;0,201256;5,028832;4,128308;0,981642;-1,019996
2016-12-01;-30,497301;-11,054173;-19,16348;1,009222;7,220404
2017-01-01;-19,237867;15,51162;1,502219;1,014746;-0,200092
2017-02-01;-9,880737;5,346654;1,322735;0,924617;-9,257001
2017-03-01;10,123369;7,383726;9,456507;1,056948;2,399065
2017-04-01;11,061358;-9,001348;-0,262434;0,984378;-0,722631
2017-05-01;1,421137;-5,24467;4,819862;1,019291;-1,008634
2017-06-01;18,94391;6,939566;3,258385;1,003414;-1,933033
2017-07-01;18,380942;8,649932;2,450318;0,95663;-0,73249
2017-08-01;-25,298415;-36,739533;-24,246552;1,001606;-1,899713
2017-09-01;8,74316;6,578142;5,096423;1,006658;1,59914
2017-10-01;15,162154;6,195289;11,05714;1,040025;5,530107
2017-11-01;0,426497;4,552851;4,387804;0,98773;-0,621647
2017-12-01;-30,096082;-9,019351;-18,487589;1,002387;7,760148
2018-01-01;-19,90628;13,289958;2,081916;1,016053;-0,598427
2018-02-01;-9,377324;4,316091;1,799968;0,921852;-9,53367
2018-03-01;11,351988;8,184222;8,739935;1,055856;2,477573
2018-04-01;10,212496;-6,391639;-1,099542;0,986603;-1,576309
2018-05-01;1,98372;-4,70221;5,02346;1,017046;-1,120165
2018-06-01;19,812644;6,327641;2,738977;1,007549;-1,595128
2018-07-01;17,068806;7,873755;1,276497;0,963977;-1,359803
2018-08-01;-25,066354;-37,867775;-22,860321;1,001244;-1,135772
2018-09-01;8,503074;6,309513;4,849953;0,999234;1,967221
2018-10-01;14,114511;6,403845;11,562339;1,038451;5,025671
2018-11-01;0,722598;3,619808;3,924734;0,990454;0,053243
2018-12-01;-29,763698;-6,069222;-17,949336;1,00019;8,072234
2019-01-01;-20,368401;11,507558;2,629612;1,016002;-0,662832
2019-02-01;-8,875096;3,808186;2,329657;0,920607;-9,511057
2019-03-01;12,718485;9,110342;8,369731;1,055621;2,452106
2019-04-01;8,947054;-4,334485;-1,232094;0,992712;-2,637557
2019-05-01;2,774868;-3,727904;4,645972;1,010189;-1,001292
2019-06-01;20,211379;4,499812;1,239292;1,009786;-1,644753
2019-07-01;15,950162;6,624271;0,532706;0,973782;-2,075857
2019-08-01;-24,67511;-39,168877;-20,564801;0,998281;-0,385824
2019-09-01;8,011579;6,287833;4,92733;0,995627;2,085803
2019-10-01;13,750508;5,693562;11,985552;1,0336;5,043832
2019-11-01;1,216702;3,45258;2,509142;0,990305;0,805708
2019-12-01;-29,789762;-2,869922;-18,069156;1,003764;7,999981
2020-01-01;-20,706041;10,898465;2,57649;1,011051;-0,293168
2020-02-01;-8,887116;3,747261;3,361687;0,918564;-9,590101
2020-03-01;13,673673;9,760961;9,256517;1,063888;2,037716
2020-04-01;8,308541;-4,082297;-1,101793;0,994997;-3,531239
2020-05-01;3,344107;-1,39923;3,193175;1,004284;-0,848821
