;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2019-03-01;100,865604;89,562991;96,248657;96,39982;103,223542;104,173351;80,928068;98,751939;116,341543;101,961678
2019-04-01;97,263555;120,505692;90,717926;104,098187;106,488776;107,985863;84,421277;95,552141;121,002943;100,880795
2019-05-01;96,716504;101,212827;94,731473;99,820788;106,069247;103,495486;79,977558;100,096361;122,974623;101,57918
2019-06-01;97,861029;110,896481;109,236059;99,623098;108,781776;106,464951;76,35355;100,182774;121,751411;100,583455
2019-07-01;102,460483;109,304151;98,360628;97,757862;101,154676;104,500569;87,649722;102,711787;118,459678;96,338856
2019-08-01;94,358007;111,84729;103,423756;99,962859;104,356582;104,462773;80,574271;99,55985;116,016201;90,016644
2019-09-01;97,219277;111,979857;97,006799;100,387303;103,113789;100,788144;81,406611;98,725685;112,273852;94,783129
2019-10-01;98,290874;106,14057;95,849817;101,142905;104,256751;103,99704;80,710842;99,750927;112,033483;104,656452
2019-11-01;97,630377;113,731326;96,644907;100,604331;103,982539;103,5879;82,682007;100,741699;110,877657;96,14214
2019-12-01;96,689162;102,343761;93,752126;100,682367;103,697937;103,799345;79,252499;101,86801;112,474632;97,663614
2020-01-01;100,571817;107,755294;93,961828;99,800107;101,110466;102,413576;83,630139;103,044593;115,706819;97,043165
2020-02-01;99,330195;97,631631;100,777103;98,166679;103,518177;100,67274;87,091764;104,11505;118,060006;100,761743
2020-03-01;56,05337;94,325723;73,462989;93,400465;104,326613;102,194759;85,165284;84,804224;109,569336;92,318803
2020-04-01;35,449773;118,528011;68,556301;99,87306;102,848031;102,04538;86,865846;72,08908;112,585574;98,138825
2020-05-01;80,728903;95,973265;58,68593;97,401523;104,226974;102,386294;96,401724;65,403548;112,544844;101,278474
2020-06-01;96,559769;95,263513;56,64131;104,549738;105,831139;103,110496;96,743438;93,39053;113,89405;92,968252
2020-07-01;96,977107;98,045102;91,820288;103,296714;102,506246;101,500803;102,458094;117,480449;115,791075;89,125922
2020-08-01;100,578377;103,308939;83,408021;98,617975;99,210369;98,956078;100,273679;74,900258;116,635656;98,978109
2020-09-01;99,728622;102,251381;93,245383;99,852989;100,091944;100,626665;100,775289;93,820865;130,923588;100,73025
2020-10-01;92,729826;82,805323;103,0649;98,772534;98,832458;100,134447;96,03146;90,876594;120,833662;100,759287
2020-11-01;100,600553;88,083376;98,013966;97,731648;100,09382;97,313837;100,386034;95,674806;122,737973;102,015501
2020-12-01;98,329595;93,498468;115,045409;101,862669;104,166854;101,512645;100,20361;90,730439;100,838013;95,061688
2021-01-01;106,038423;87,873706;108,917944;101,478946;98,440233;101,900862;106,509056;99,525523;95,597988;97,688852
2021-02-01;98,681825;99,681636;100,571467;101,62864;97,101554;98,981868;107,067008;91,094373;94,125361;92,341961
2021-03-01;101,200523;103,681389;100,556211;101,833958;96,85388;100,251533;101,318135;92,73882;100,105165;95,159876
2021-04-01;99,231786;104,724172;107,989512;98,385729;93,439637;100,479849;101,616482;104,310615;95,891412;97,14275
2021-05-01;101,216457;106,514702;100,841319;99,505596;94,396196;97,743071;96,701303;89,635879;94,739385;94,980104
2021-06-01;105,032685;98,964252;98,851025;98,753708;99,276019;96,700154;100,039456;97,043172;96,965879;96,256522
2021-07-01;98,03509;87,713857;91,579765;101,085008;102,220909;99,985883;97,620486;96,681621;101,803447;99,837113
2021-08-01;99,050007;90,063356;91,631471;98,184239;102,334109;99,227785;99,062801;100,764106;101,923642;98,52516
2021-09-01;98,822133;101,043984;98,632436;98,750726;103,577096;100,537981;96,231329;107,849545;99,940029;97,161546
2021-10-01;97,898593;105,667593;95,712672;97,278947;101,279583;99,546648;97,3605;110,421064;105,328791;115,730836
2021-11-01;95,548531;104,304899;79,192933;101,013653;103,580372;101,425579;95,298735;103,908993;101,066734;100,08675
2021-12-01;91,945383;109,867417;117,27472;95,357013;99,41427;98,558086;93,861833;105,239342;102,337599;102,258438
2022-01-01;101,409689;113,398289;91,968687;95,268679;101,004715;98,321118;94,79414;111,436083;104,559204;108,062792
2022-02-01;100,55116;105,47125;97,476866;96,893256;100,861693;99,063127;92,222031;108,983048;108,680267;106,594881
2022-03-01;99,720688;101,256476;97,116094;96,955707;98,439939;99,836699;93,837845;109,133826;104,802915;104,847612
2022-04-01;94,581784;99,507482;97,988848;97,65412;88,427531;96,234479;91,903994;106,273231;104,931193;99,245547
2022-05-01;95,814454;103,564246;91,399301;94,943403;79,481741;95,616751;96,215387;107,906157;101,080431;102,912684
2022-06-01;95,033002;98,952614;88,268874;96,912919;83,215578;99,505649;97,742374;112,315099;108,451079;111,400082
2022-07-01;90,88119;95,763326;97,71583;96,296116;86,410975;97,253614;95,942789;120,437437;109,579399;100,181191
2022-08-01;92,497691;92,354751;99,39411;98,093083;90,981728;99,736779;98,920255;107,13646;109,855832;94,352691
