;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1996-06-01;105,098146;84,8809;215,087021;48,317118;657,860067;582,178145;130,691905;45,818691;348,452941;85,36073;133,309517
1996-07-01;121,116937;85,128583;181,982271;59,082855;537,983329;568,757903;171,312919;28,418185;386,317459;85,613223;115,580192
1996-08-01;117,811702;79,285424;50,104678;49,624845;290,689459;99,569986;215,649046;43,401033;387,702747;79,741239;66,25643
1996-09-01;113,824295;79,546151;189,951664;53,478764;640,009336;591,388048;241,887177;45,440327;479,451359;80,004743;62,51506
1996-10-01;120,719758;88,838763;254,702996;59,604129;722,953527;658,956608;136,418742;53,831472;434,056561;89,348841;49,626533
1996-11-01;103,848253;85,010612;236,288212;47,652629;606,000616;445,264094;88,520389;52,831278;379,923826;85,495167;47,332169
1996-12-01;112,398867;84,679732;202,057352;57,034361;470,735471;374,779174;55,359306;51,332275;466,770652;85,161805;40,813637
1997-01-01;115,975157;91,833586;205,608929;62,074008;658,78338;626,11056;52,483284;56,111049;382,800961;92,356507;60,691575
1997-02-01;102,084783;82,928564;209,802967;54,82912;640,470993;471,571649;44,354978;51,495252;380,101427;83,403196;64,412782
1997-03-01;109,186225;89,8247;206,287483;57,152871;626,467402;607,086605;42,298729;58,958659;388,093469;90,337957;91,604864
1997-04-01;122,084276;95,595644;230,46997;68,698844;672,017543;670,530785;34,892129;57,246985;459,489014;96,138888;127,063299
1997-05-01;109,574906;95,016744;173,124984;55,760013;527,365222;551,346488;43,763143;54,997684;349,731667;95,556032;126,988661
1997-06-01;107,630169;86,678011;234,028774;49,74475;668,170403;650,605022;128,482152;52,817098;341,313383;87,168974;137,063899
1997-07-01;113,472384;86,333262;152,891099;58,290834;485,816261;578,027783;167,575844;29,235869;398,110132;86,826183;118,424626
1997-08-01;105,008055;77,21248;70,836656;48,548222;268,991741;90,110857;210,013369;46,502015;371,2569;77,656287;65,179442
1997-09-01;113,396361;82,255882;265,523764;46,832437;664,323262;637,097213;236,407726;46,500022;470,855474;82,730258;65,260163
1997-10-01;115,541843;89,41619;331,704389;58,070781;689,098846;690,997249;134,487423;54,961845;513,231027;89,930299;50,216021
1997-11-01;100,619971;85,257389;302,909175;48,824774;541,214927;442,846467;88,010685;51,7199;407,16778;85,745206;47,750304
1997-12-01;116,948487;90,163091;261,604035;53,262506;478,275866;418,774698;55,398934;51,186876;522,040033;90,676554;43,628246
1998-01-01;111,787535;96,934066;267,212929;66,258105;604,923416;594,960142;55,417245;61,009883;419,280163;97,481821;62,741436
1998-02-01;98,474183;87,888149;283,902462;46,842529;584,456784;487,535697;46,833894;49,979638;387,596186;88,388298;67,326495
1998-03-01;114,97439;98,326972;264,975146;56,460929;650,627443;598,121953;44,056877;54,855083;496,998331;98,886646;99,636878
