;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2001-01-01;1,079213;1,074756;27,291375;8,74592;1,078354;1,181187;0,538523;1,094042;1,063489;6,982417;0,754018
2001-02-01;0,922188;0,961471;-0,427556;-7,098529;1,016042;0,921817;0,449483;1,00732;0,91946;-3,788429;0,790356
2001-03-01;1,027709;1,076186;24,143476;4,029137;1,127253;1,241434;0,43292;1,094363;1,006984;6,536975;1,168044
2001-04-01;0,999993;1,038129;1,882597;0,824569;0,977601;1,193072;0,355462;1,033063;0,997943;3,647286;1,458024
2001-05-01;1,047284;1,088479;-24,614153;8,396594;0,92498;1,040093;0,450462;1,054104;0,876521;8,181753;1,551821
2001-06-01;0,936394;0,979491;22,903121;-2,954364;1,124804;1,180582;1,252471;0,994481;0,889434;-2,018834;1,638829
2001-07-01;0,97854;0,93226;-12,844565;3,542014;0,957274;1,001576;1,598723;0,602794;0,878601;-6,389377;1,354777
2001-08-01;1,048377;0,922711;-121,814029;-2,136711;0,623465;0,224311;1,966892;0,913939;0,968429;-6,924941;0,82239
2001-09-01;0,937699;0,900677;18,793204;-7,723478;1,143815;1,149004;2,218283;0,997643;1,022121;-9,444395;0,751771
2001-10-01;1,094958;1,028385;53,330324;1,520913;1,201545;1,29098;1,300627;1,104441;1,199589;2,754586;0,612081
2001-11-01;0,997415;1,020037;32,913731;-1,546915;1,01198;0,872868;0,876796;1,032879;1,087144;1,861489;0,601581
2001-12-01;0,95093;0,980824;-22,087659;-5,268893;0,78917;0,664749;0,541906;1,078374;1,086793;-1,789724;0,495725
2002-01-01;1,064968;1,079093;26,728644;8,740119;1,111514;1,188212;0,544781;1,068826;1,045629;7,344755;0,754753
2002-02-01;0,925559;0,960021;-3,769614;-7,076864;1,008312;0,947274;0,451258;1,002456;0,931649;-3,838917;0,789059
2002-03-01;1,007145;1,045559;27,157215;0,60327;1,090509;1,21923;0,435217;1,100575;0,999567;4,046151;1,121769
2002-04-01;1,033041;1,070167;1,245541;5,328368;1,019553;1,216927;0,36454;1,039577;1,0243;6,538379;1,515524
2002-05-01;1,033777;1,08249;-24,049696;6,299023;0,893037;1,014507;0,455978;1,066328;0,868826;7,749604;1,540364
2002-06-01;0,903484;0,953001;20,104819;-5,239419;1,121071;1,152827;1,241683;1,003358;0,871653;-4,578463;1,596991
2002-07-01;1,023237;0,952472;-8,304746;5,583622;0,96552;1,029108;1,595375;0,619234;0,882946;-4,361237;1,394162
2002-08-01;0,993196;0,909167;-123,40638;-2,117496;0,634406;0,218234;1,92802;0,903544;0,943997;-8,556749;0,80831
2002-09-01;0,987379;0,913901;25,228368;-5,463214;1,127159;1,190632;2,226736;0,97885;1,044056;-8,066494;0,76677
2002-10-01;1,08738;1,033276;48,647804;2,077904;1,241236;1,305478;1,312026;1,100361;1,190533;3,10055;0,613662
2002-11-01;0,960107;1,004607;26,210499;-5,362391;0,986863;0,839521;0,868254;1,036384;1,079325;0,434763;0,591683
2002-12-01;1,000652;1,006151;-12,88503;-1,295063;0,816555;0,710161;0,555507;1,080017;1,134457;0,58847;0,506441
2003-01-01;1,053665;1,075971;27,221721;5,699737;1,087578;1,187002;0,548489;1,055018;1,027909;7,134116;0,749415
2003-02-01;0,925437;0,959364;-6,573002;-7,424073;1,000684;0,956502;0,452871;0,998069;0,93791;-3,914749;0,789288
2003-03-01;0,995961;1,037686;25,730917;1,470212;1,081979;1,182372;0,438279;1,10718;1,005462;3,445879;1,121464
2003-04-01;1,055267;1,072584;-0,590771;4,192609;1,042764;1,231439;0,375415;1,046624;1,01627;6,919916;1,516081
2003-05-01;0,979332;1,064595;-28,500296;5,554425;0,873503;0,952402;0,455724;1,080823;0,844769;6,065077;1,518533
2003-06-01;0,955042;0,963775;23,07808;-2,692643;1,126147;1,175379;1,252222;1,003769;0,905747;-3,507134;1,625584
2003-07-01;1,007879;0,95346;-8,317777;6,378369;0,980536;1,053156;1,600242;0,633979;0,834467;-4,358005;1,390056
2003-08-01;0,956467;0,887477;-116,173685;-5,00988;0,633425;0,223032;1,903673;0,890284;0,949844;-10,828177;0,780304
2003-09-01;1,037835;0,94296;27,68778;-0,315625;1,148652;1,228204;2,218412;0,958433;1,090706;-5,170014;0,79745
