;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2001-05-01;104,728991;93,354535;161,003404;69,27321;519,22889;428,172031;105,374759;51,352531;343,319561;94,013375;88,5949
2001-06-01;106,053111;94,43319;160,645598;56,215622;474,733725;408,561264;106,031787;54,910032;327,992062;95,040167;89,959447
2001-07-01;107,50057;93,299619;174,802292;56,876881;520,35996;390,994345;105,304794;64,154233;355,929099;93,86612;89,213958
2001-08-01;108,488513;95,462325;169,948014;58,801025;520,549644;432,954571;104,038207;49,007104;288,326914;95,516311;90,791886
2001-09-01;110,71301;93,900428;192,020374;62,651398;447,87342;387,114905;106,175594;49,064447;332,918837;94,506412;89,306555
2001-10-01;112,409335;95,394298;175,010144;62,043094;485,012283;360,982863;105,309149;47,750772;315,231072;95,910618;90,174993
2001-11-01;115,096392;95,312558;163,231545;61,730761;485,235261;339,864494;104,866582;47,511801;316,175954;95,914603;90,380415
2001-12-01;110,299822;94,764684;183,496769;61,75538;476,571318;355,682961;109,735078;51,363082;340,790708;95,263691;89,888229
2002-01-01;111,249838;95,704692;168,124493;65,455039;460,47337;361,389984;103,934229;52,317531;342,20754;96,517149;90,488904
2002-02-01;111,281431;95,21395;196,846962;66,737656;494,02045;363,876538;104,766552;53,75251;327,384734;95,768422;90,532486
2002-03-01;109,413335;95,392723;188,728911;69,069703;469,060843;363,952348;104,162322;53,464765;331,296291;96,264182;91,001579
2002-04-01;108,328446;95,158601;157,434918;63,656634;448,123736;361,051996;101,623733;49,278589;298,453983;95,876562;89,465163
2002-05-01;109,140127;96,029444;162,821103;54,972009;444,922026;345,426326;102,157452;45,481348;292,1456;96,793131;90,730493
2002-06-01;108,768835;95,628943;179,7725;59,918029;527,651986;359,842832;106,363193;53,928839;284,41763;96,22961;90,752801
2002-07-01;109,542795;96,079664;159,35148;66,682027;668,762055;361,881896;105,373396;50,381091;229,866816;96,396035;90,323167
2002-08-01;110,809403;95,141583;209,483778;64,176379;479,068282;326,962539;106,436846;52,23978;184,590331;95,55311;89,88524
2002-09-01;109,656903;94,356847;170,389946;61,818758;521,798542;339,565525;106,365099;52,804618;177,440753;94,796164;89,431459
2002-10-01;109,155395;94,141425;180,34523;61,010097;508,555728;358,411382;105,118567;52,240093;162,310241;94,730981;88,943201
2002-11-01;108,309954;93,780953;182,794085;62,236768;513,022388;343,737731;105,987433;54,086378;188,879703;94,315249;89,182279
2002-12-01;109,457143;93,319425;173,227945;64,664065;494,133866;353,110888;105,148349;53,143594;170,076511;93,837184;89,159947
2003-01-01;109,690433;93,605412;182,886595;63,299331;492,114934;348,88768;104,469295;53,093241;184,221985;94,156454;89,276035
2003-02-01;110,917654;93,69944;182,440352;62,50763;512,703077;356,570184;105,097432;51,676722;186,316129;94,322483;89,507488
2003-03-01;110,92696;93,527075;186,252805;69,120107;511,159585;337,608732;104,427558;54,828484;165,574746;94,162652;89,308899
2003-04-01;111,404688;95,491754;189,975771;57,486487;546,911377;327,352678;99,570454;55,0404;179,198192;96,087344;90,533435
2003-05-01;110,44588;96,322533;160,356955;66,969778;446,239703;322,22228;102,735175;49,54857;178,493858;97,062048;90,457058
2003-06-01;111,500024;93,538016;186,465015;70,585007;455,583439;337,077891;102,370292;52,584115;179,270622;94,168654;88,80382
2003-07-01;108,926552;93,38164;194,003217;64,629775;563,25823;320,582597;101,299893;64,538555;166,741254;93,902057;89,256441
2003-08-01;105,953783;91,989894;171,028236;68,649292;449,927853;307,735558;103,62612;56,030291;173,400165;92,937298;89,383475
2003-09-01;108,415952;94,715689;173,828173;63,850246;441,700271;343,356823;103,096656;53,742583;176,204637;94,99927;89,733391
2003-10-01;107,933088;94,893722;178,286066;71,029019;467,967449;295,852195;103,003521;46,919478;187,868179;95,483892;90,22755
2003-11-01;109,011218;94,281324;169,112861;74,488834;573,600368;303,818924;106,340588;56,019749;197,709019;94,816315;90,214591
2003-12-01;106,482789;94,58181;163,745197;73,75847;348,724148;293,920295;104,345953;53,47225;188,819802;95,143831;90,614272
2004-01-01;109,760081;93,565309;170,778539;72,614691;374,865474;297,165205;104,632746;51,915637;183,40412;94,145288;89,597645
2004-02-01;106,264709;92,766076;173,016514;75,883905;310,863412;320,410185;101,368907;52,319496;181,32802;93,292093;89,225197
2004-03-01;105,706599;92,941644;175,832437;72,005416;349,279738;319,634805;101,449323;54,318327;184,440977;93,53778;88,658298
2004-04-01;104,960889;94,423853;158,448805;76,816415;373,640333;326,307819;98,353196;54,593194;179,891677;95,028182;90,076156
2004-05-01;103,936441;93,95882;168,875948;73,553182;357,118795;329,446411;103,252408;55,795339;184,092134;94,333919;89,382655
2004-06-01;108,755173;94,950759;164,694189;77,319639;376,59362;313,142771;102,334794;55,806749;196,801952;95,448782;90,72129
2004-07-01;106,722568;94,383015;159,976887;76,787965;356,114379;313,819701;104,375531;52,910198;184,075766;95,095038;90,911365
